2018-11-20 06:24:39.5954 Info Starting Jackett v0.10.455.0 
2018-11-20 06:24:42.4676 Info Environment version: 4.0.30319.42000 (/usr/lib/mono/4.5) 
2018-11-20 06:24:42.4887 Info OS version: Unix 4.9.125.0 (64bit OS) (64bit process) 
2018-11-20 06:24:42.5023 Info ThreadPool MaxThreads: 400 workerThreads, 200 completionPortThreads 
2018-11-20 06:24:42.5255 Info App config/log directory: /config/Jackett 
2018-11-20 06:24:42.5418 Info issue: Ubuntu 16.04.5 LTS \n \l 
2018-11-20 06:24:42.5572 Info mono version: 5.16.0.179 (tarball Thu Oct  4 10:29:10 UTC 2018) 
2018-11-20 06:24:42.7415 Info TrustedRootCertificates count: 148 
2018-11-20 06:24:42.7617 Info Using HTTP Client: HttpWebClient 
2018-11-20 06:24:43.2970 Info Loading Cardigann definitions from: /config/cardigann/definitions/, /etc/xdg/cardigan/definitions/, /app/Jackett/Definitions 
2018-11-20 06:24:43.3910 Info Loading Cardigann definition /app/Jackett/Definitions/1337x.yml 
2018-11-20 06:24:43.7181 Info Loading Cardigann definition /app/Jackett/Definitions/2fast4you.yml 
2018-11-20 06:24:43.7606 Info Loading Cardigann definition /app/Jackett/Definitions/3dtorrents.yml 
2018-11-20 06:24:43.7815 Info Loading Cardigann definition /app/Jackett/Definitions/Bittorrentfiles.yml 
2018-11-20 06:24:43.8105 Info Loading Cardigann definition /app/Jackett/Definitions/acidlounge.yml 
2018-11-20 06:24:43.8303 Info Loading Cardigann definition /app/Jackett/Definitions/anidex.yml 
2018-11-20 06:24:43.8459 Info Loading Cardigann definition /app/Jackett/Definitions/anirena.yml 
2018-11-20 06:24:43.8587 Info Loading Cardigann definition /app/Jackett/Definitions/aox.yml 
2018-11-20 06:24:43.8723 Info Loading Cardigann definition /app/Jackett/Definitions/arabafenice.yml 
2018-11-20 06:24:43.8961 Info Loading Cardigann definition /app/Jackett/Definitions/archetorrent.yml 
2018-11-20 06:24:43.9187 Info Loading Cardigann definition /app/Jackett/Definitions/asiandvdclub.yml 
2018-11-20 06:24:43.9339 Info Loading Cardigann definition /app/Jackett/Definitions/ast4u.yml 
2018-11-20 06:24:43.9538 Info Loading Cardigann definition /app/Jackett/Definitions/audiobookbay.yml 
2018-11-20 06:24:43.9804 Info Loading Cardigann definition /app/Jackett/Definitions/audiobooktorrents.yml 
2018-11-20 06:24:44.0043 Info Loading Cardigann definition /app/Jackett/Definitions/awesomehd.yml 
2018-11-20 06:24:44.0169 Info Loading Cardigann definition /app/Jackett/Definitions/b2s-share.yml 
2018-11-20 06:24:44.0568 Info Loading Cardigann definition /app/Jackett/Definitions/backups.yml 
